date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:39	248856/248856	---MCZ	200	added ('OK')	text/html	etag:%2210agefwjof73o9i%22	https://www.dominos.com/menu/wings?type=order_carryout	C:/Aali/dominos/www.dominos.com/menu/wings0e22.html	(from https://www.dominos.com/menu/wings)
18:52:41	80680/80680	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202024%2016:56:28%20GMT	https://www.dominos.com/cms/assets/57d521dd-6307-40d4-82fa-d34e1bed6137?modified_on=2024-07-29T12%3A34%3A23.853Z&im=Resize%3D%28426%2C426%29%3BCrop%2Crect%3D%28200%2C130%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/57d521dd-6307-40d4-82fa-d34e1bed613743fb.png	(from https://www.dominos.com/menu/wings)
18:52:43	76525/76525	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202024%2016:56:29%20GMT	https://www.dominos.com/cms/assets/c3395e8d-f0ce-48da-bf2e-ede56e00d0ff?modified_on=2024-07-29T12%3A34%3A23.553Z&im=Resize%3D%28426%2C426%29%3BCrop%2Crect%3D%28200%2C130%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/c3395e8d-f0ce-48da-bf2e-ede56e00d0ff1618.png	(from https://www.dominos.com/menu/wings)
18:52:43	157671/157671	---MCZ	200	added ('OK')	text/html	etag:%22kf1px44j861t73%22	https://www.dominos.com/menu/wings/S_SCCBT/loaded_chicken_crispy_bacon_tomato	C:/Aali/dominos/www.dominos.com/menu/wings/S_SCCBT/loaded_chicken_crispy_bacon_tomato.html	(from https://www.dominos.com/menu/wings)
18:52:45	81869/81869	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202024%2016:56:28%20GMT	https://www.dominos.com/cms/assets/29f7b9c3-4f6f-48f5-83ba-90bee259e803?modified_on=2024-09-23T13%3A53%3A43.936Z&im=Resize%3D%28426%2C426%29%3BCrop%2Crect%3D%28200%2C130%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/29f7b9c3-4f6f-48f5-83ba-90bee259e803f9c4.png	(from https://www.dominos.com/menu/wings)
18:52:45	157615/157615	---MCZ	200	added ('OK')	text/html	etag:%22yk6hexpvia1t5z%22	https://www.dominos.com/menu/wings/S_SCCHB/loaded_chicken_classic_hot_buffalo	C:/Aali/dominos/www.dominos.com/menu/wings/S_SCCHB/loaded_chicken_classic_hot_buffalo.html	(from https://www.dominos.com/menu/wings)
18:52:47	78572/78572	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202024%2016:56:27%20GMT	https://www.dominos.com/cms/assets/92e5e84a-106c-4d2d-98cf-45ecde815b65?modified_on=2024-07-29T12%3A34%3A20.953Z&im=Resize%3D%28426%2C426%29%3BCrop%2Crect%3D%28200%2C130%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/92e5e84a-106c-4d2d-98cf-45ecde815b651073.png	(from https://www.dominos.com/menu/wings)
18:52:47	157671/157671	---MCZ	200	added ('OK')	text/html	etag:%22u8xpph9jsi1t6y%22	https://www.dominos.com/menu/wings/S_SCSJP/loaded_chicken_spicy_jalapeno_pineapple	C:/Aali/dominos/www.dominos.com/menu/wings/S_SCSJP/loaded_chicken_spicy_jalapeno_pineapple.html	(from https://www.dominos.com/menu/wings)
18:52:50	85147/85147	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202024%2016:56:29%20GMT	https://www.dominos.com/cms/assets/bef7d005-195c-45eb-935d-ac9ec462dd34?modified_on=2024-07-26T20%3A08%3A13.478Z&im=Resize%3D%28426%2C426%29%3BCrop%2Crect%3D%28200%2C130%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/bef7d005-195c-45eb-935d-ac9ec462dd34733e.png	(from https://www.dominos.com/menu/wings)
18:52:50	157633/157633	---MCZ	200	added ('OK')	text/html	etag:%22y71nf16d581t6c%22	https://www.dominos.com/menu/wings/S_SCSBBQ/loaded_chicken_sweet_bbq_bacon	C:/Aali/dominos/www.dominos.com/menu/wings/S_SCSBBQ/loaded_chicken_sweet_bbq_bacon.html	(from https://www.dominos.com/menu/wings)
